titulaire_normalise,nombre_marches,montant_total,categorie,confiance
BIOTRONIK FRANCE,277,231408598.74,FABRICANT_DM,haute
COOPERATION PHARMACEUTIQUE FRANCAISE,274,130373577.85,DISTRIBUTEUR,haute
DIDACTIC,273,233969687.82,FABRICANT_DM,moyenne
SIEMENS HEALTHCARE,271,2082731325.95,FABRICANT_DM,haute
MOLNLYCKE HEALTH CARE,266,101173107.1,FABRICANT_DM,haute
EUROBIO SCIENTIFIC,266,60334644.38,FABRICANT_DIV,haute
OLYMPUS FRANCE,261,325620838.8,FABRICANT_DM,haute
ICU MEDICAL ENTREPRISE FRANCE,258,288090342.05,FABRICANT_DM,haute
RAFFIN MEDICAL,255,58032330.06,DISTRIBUTEUR,moyenne
GETINGE FRANCE,255,182189033.94,FABRICANT_DM,haute
ADVANCED MEDICAL SOLUTIONS (FRANCE),252,127442539.86,FABRICANT_DM,haute
CAIR LGL,246,169928761.09,FABRICANT_DM,moyenne
AMBU,243,258883124.36,FABRICANT_DM,haute
INTEGRA LIFESCIENCES SERVICES (FRANCE),225,120852059.02,FABRICANT_DM,haute
EG LABO - LABORATOIRES EUROGENERIC,220,56370551.62,LABO_PHARMA,haute
LABORATOIRES EUROMEDIS,214,75879812.04,DISTRIBUTEUR,moyenne
EDWARDS LIFESCIENCES,210,426396123.79,FABRICANT_DM,haute
DOMINIQUE DUTSCHER S A,204,135287998.49,DISTRIBUTEUR,haute
BARD FRANCE,203,23715837.47,FABRICANT_DM,haute
INRESA,202,97448211.34,LABO_PHARMA,moyenne
BAYER HEALTHCARE,202,701386500.76,LABO_PHARMA,haute
SYLAMED,201,77947339.73,DISTRIBUTEUR,moyenne
COLLIN,199,78789210.4,FABRICANT_DM,moyenne
FRESENIUS KABI FRANCE,198,139764885.58,FABRICANT_DM,moyenne
LABORATOIRES ALCON,196,618576587.07,FABRICANT_DM,moyenne
COMEPA -INDUSTRIES,189,84080867.56,AUTRE,basse
LABORATOIRES ANIOS,187,220349853.81,AUTRE,moyenne
GE HEALTHCARE,186,187170025.91,FABRICANT_DM,haute
TEVA SANTE,184,48762292.73,LABO_PHARMA,haute
TAKEDA FRANCE,180,1703713690.38,LABO_PHARMA,haute
CREO MEDICAL,180,97537699.94,FABRICANT_DM,haute
SCHILLER FRANCE,179,255108791.12,FABRICANT_DM,haute
SANOFI WINTHROP INDUSTRIE,179,477454900.6,LABO_PHARMA,haute
STERIS,176,484034958.96,FABRICANT_DM,haute
BVI FRANCE (PHYSIOL FRANCE),173,94383856.37,FABRICANT_DM,moyenne
BSN-RADIANTE,173,77820377.07,FABRICANT_DM,moyenne
ARTHREX FRANCE,172,108022102.86,FABRICANT_DM,haute
SANOFI PASTEUR EUROPE,172,37725968.97,LABO_PHARMA,haute
PHILIPS FRANCE,172,1152120208.95,FABRICANT_DM,haute
FCI S A S,169,27036265.83,AUTRE,basse
LFB BIOMEDICAMENTS,169,1735369604.42,LABO_PHARMA,haute
AGILENT TECHNOLOGIES FRANCE,167,152317639.28,FABRICANT_DIV,haute
FRESENIUS MEDICAL CARE FRANCE,166,396701733.42,FABRICANT_DM,haute
DUOMED FRANCE ENDOSCOPIE,163,87675608.04,DISTRIBUTEUR,haute
APPLIED MEDICAL FRANCE,161,158632843.68,FABRICANT_DM,haute
AUBIN,159,94885995.33,AUTRE,basse
ZENTIVA FRANCE,157,112238908.3,LABO_PHARMA,haute
W L GORE ET ASSOCIES,157,101948594.86,FABRICANT_DM,haute
FRESENIUS VIAL,155,212435168.22,FABRICANT_DM,haute
PAREDES DISTRIBUTION FRANCE,154,137520707.08,DISTRIBUTEUR,haute
PLG,152,52907700.46,AUTRE,basse
PANPHARMA,152,137758317.28,LABO_PHARMA,haute
MICROPORT CRM FRANCE,151,140614525.86,FABRICANT_DM,haute
HEMOTECH,148,155672412.41,AUTRE,basse
LIFE TECHNOLOGIES,148,107685562.8,FABRICANT_DIV,haute
MEDISPORT,146,33056986.24,DISTRIBUTEUR,moyenne
NOVARTIS PHARMA,146,164630107.62,LABO_PHARMA,haute
SYSMEX FRANCE,146,132163898.24,FABRICANT_DIV,haute
ABENA-FRANTEX,143,192722393.78,FABRICANT_DM,moyenne
INTSEL CHIMOS,142,67796295.48,DISTRIBUTEUR,moyenne
M-M FRANCE (MICROM - MICROTECH FRANCE),136,16491386.53,FABRICANT_DM,moyenne
INT AIR MEDICAL,135,49809469.26,DISTRIBUTEUR,moyenne
LES CELLULOSES DE BROCELIANDE,135,36451423.52,FABRICANT_DM,moyenne
MEDICAL MEASUREMENT SYSTEMS BV (LABORIE MEDICAL TECHNOLOGIES FRANCE),134,154691370.9,FABRICANT_DM,haute
SERB (LABORATOIRES SERB),133,131466598.9,LABO_PHARMA,haute
HEMODIA,132,59296067.13,DISTRIBUTEUR,basse
DRAGER FRANCE,132,194652614.45,FABRICANT_DM,haute
BAUSCH ET LOMB FRANCE,130,29392576.18,FABRICANT_DM,moyenne
LANDANGER,130,125686953.99,FABRICANT_DM,haute
CG MEDICAL (C G MEDICAL),128,25452402.62,DISTRIBUTEUR,basse
RADIOMETER,127,158547155.01,FABRICANT_DIV,haute
INNOVATIVE DIAGNOSTICS,124,13072089.6,FABRICANT_DIV,moyenne
LABORATOIRES CONVATEC,123,86255459.67,FABRICANT_DM,haute
CURIUM PET FRANCE,123,154997418.84,LABO_PHARMA,haute
KOMET FRANCE,122,9891680.52,FABRICANT_DM,moyenne
GUERBET FRANCE,120,158235501.03,LABO_PHARMA,moyenne
SANOFI-AVENTIS FRANCE,120,459179446.35,LABO_PHARMA,haute
COUSIN BIOSERV,117,137662898.09,FABRICANT_DM,haute
BALT EXTRUSION,117,54869627.65,FABRICANT_DM,haute
NUTRICIA NUTRITION CLINIQUE (DANONE SANTE NUTRITION),116,205865927.83,AUTRE,moyenne
3M FRANCE (SCOTCH FR POST-IT FR- JEUPOSTIT ),116,158315314.88,FABRICANT_DM,moyenne
STERILMED FRANCE,116,26166211.52,AUTRE,basse
OCP REPARTITION,115,35907260.12,DISTRIBUTEUR,haute
MAST DIAGNOSTIC,115,9534160.52,FABRICANT_DIV,moyenne
ACCORD HEALTHCARE FRANCE,114,84038629.89,LABO_PHARMA,haute
LEICA MICROSYSTEMES,114,14956889.74,FABRICANT_DM,haute
LIVANOVA,114,124267074.4,FABRICANT_DM,haute
LABORATOIRES GILBERT,112,55067777.98,LABO_PHARMA,moyenne
GAMIDA,112,50254066.14,DISTRIBUTEUR,moyenne
EBONY,112,11744863.98,AUTRE,basse
CSL BEHRING S A,111,1527426318.76,LABO_PHARMA,haute
DUMONT SECURITE,111,119474398.19,AUTRE,moyenne
LABO MODERNE,111,6298721.96,DISTRIBUTEUR,basse
UNION DES GROUPEMENTS D ACHATS PUBLICS (UGAP),108,120152304.62,AUTRE,haute
CARL ZEISS MEDITEC FRANCE,108,152499849.55,FABRICANT_DM,haute
BIOSYNEX,107,19359036.37,FABRICANT_DIV,haute
BRACCO IMAGING FRANCE,106,159977827.6,LABO_PHARMA,haute
LABORATOIRES URGO (URGO MEDICAL - MDFA (MEDICAL DEVICE FOR ALL)),106,49070610.95,FABRICANT_DM,haute
LINET FRANCE (WISSNER BOSSERHOFF FRANCE),105,354476153.99,FABRICANT_DM,haute
MEDAC,105,48213346.88,LABO_PHARMA,moyenne
JANSSEN CILAG (JANSSEN),104,190259888.53,LABO_PHARMA,haute
MEDICONTUR FRANCE,104,35018057.24,FABRICANT_DM,haute
MICROVENTION EUROPE,104,149937028.17,FABRICANT_DM,haute
LABORATOIRES GYNEAS,102,33090880.2,FABRICANT_DM,moyenne
ALLOGA FRANCE,102,64134677.15,DISTRIBUTEUR,haute
KARL STORZ ENDOSCOPIE FRANCE,101,42259000.08,FABRICANT_DM,haute
LABORATOIRE BENEWMEDICAL (BENEWMEDICAL),101,19179924.91,FABRICANT_DM,moyenne
AB MEDICA,101,126630523.23,FABRICANT_DM,moyenne
OCTAPHARMA FRANCE,100,631839494.86,LABO_PHARMA,haute
CORMEDICA,99,32171878.73,DISTRIBUTEUR,basse
ASSUT EUROPE FRANCE,99,28460575.22,FABRICANT_DM,moyenne
STRIM HEALTH CARE INTERNATIONAL,98,17934486.19,DISTRIBUTEUR,moyenne
BIOGARAN (LABORATOIRE BIOGARAN - LABORATOIRE TOP-PHARM - TOP-PHARM),97,48822986.59,LABO_PHARMA,haute
DORAN INTERNATIONAL,97,185786226.51,AUTRE,basse
ASTRAZENECA,95,271901052.88,LABO_PHARMA,haute
EDIMEX,95,533164069.81,DISTRIBUTEUR,moyenne
WERFEN,94,221092975.05,FABRICANT_DIV,haute
GRIFOLS FRANCE,94,958726083.2,LABO_PHARMA,haute
CONTROLE GRAPHIQUE,93,30073011.46,AUTRE,basse
SARSTEDT FRANCE,92,33635631.21,FABRICANT_DM,haute
CONMED FRANCE,90,79384619.53,FABRICANT_DM,haute
ABBOTT RAPID DIAGNOSTICS S A S,90,159562801.83,FABRICANT_DIV,haute
GILEAD SCIENCES,90,396883034.13,LABO_PHARMA,haute
CORDIS FRANCE,90,73506816.59,FABRICANT_DM,haute
LCH MEDICAL PRODUCTS,90,41515697.87,FABRICANT_DM,moyenne
ORTHOFIX FRANCE S A S,90,139117174.79,FABRICANT_DM,haute
CODAN FRANCE,89,22721820.04,FABRICANT_DM,moyenne
ZYTOMICS,89,4164833.53,AUTRE,basse
3M FRANCE,89,116398102.41,FABRICANT_DM,moyenne
ORTHO-CLINICAL DIAGNOSTICS FRANCE,88,74397665.95,FABRICANT_DIV,haute
POURET MEDICAL,87,47472951.94,FABRICANT_DM,moyenne
FUJIFILM HEALTHCARE FRANCE,86,1057886050.62,FABRICANT_DM,haute
LABORATOIRE RENAUDIN,86,41880057.33,LABO_PHARMA,haute
COLDIS,86,23596590.22,DISTRIBUTEUR,basse
IDEXX,86,9588554.24,AUTRE,haute
SANDOZ,86,71516101.03,LABO_PHARMA,haute
NEWCLIP TECHNICS,86,84188214.12,FABRICANT_DM,haute
ABBVIE,85,232233522.57,LABO_PHARMA,haute
CENTRE LAB (CENTRE LAB PHARMA),85,11737291.77,DISTRIBUTEUR,basse
HERAEUS,85,35000351.96,FABRICANT_DM,moyenne
FISHER SCIENTIFIC S A S,85,76652000.12,DISTRIBUTEUR,moyenne
QIAGEN FRANCE,85,66096677.91,FABRICANT_DIV,haute
FH ORTHO,85,320395638.3,FABRICANT_DM,haute
IMMED EUROPE,85,36336840.75,DISTRIBUTEUR,basse
NIPRO MEDICAL FRANCE,85,138060122.02,FABRICANT_DM,haute
INTELLIG ARTIFICIELLE APLLICATIONS I2A,85,40780256.65,FABRICANT_DM,moyenne
LEPINE (LEPINE PLUS),85,134530121.13,FABRICANT_DM,haute
HILL-ROM,84,228418792.89,FABRICANT_DM,haute
THERMO ELECTRON,84,22094524.27,FABRICANT_DIV,moyenne
BERNAS MEDICAL,83,15486239.07,DISTRIBUTEUR,basse
MEDIPHA SANTE,83,34337715.22,DISTRIBUTEUR,moyenne
CLINISCIENCES,83,5183888.89,DISTRIBUTEUR,moyenne
GROUPE LEPINE,83,4596896.21,FABRICANT_DM,haute
SOCIETE LA BIOCHIMIE APPLIQUEE,83,7615619.01,FABRICANT_DIV,basse
ORIGIO FRANCE,82,21161521.87,FABRICANT_DM,moyenne
BOEHRINGER INGELHEIM FRANCE,82,125772039.44,LABO_PHARMA,haute
FISHER PAYKEL HEALTHCARE (FPHCARE),82,73512265.38,FABRICANT_DM,haute
BECKMAN COULTER FRANCE,80,184480193.87,FABRICANT_DIV,haute
